detector,tracker,reid,appearance_thresh,MAX_CDIST_TH
ultralytics,botsort,vit-small-ics,0.25,0.155

video_name,HOTA,IDF1,IDERROR,FS,TIDP,TIDR
MOT17-02-FRCNN,11.20,7.73,32,33.96,5.71,100.00
MOT17-04-FRCNN,22.39,17.67,61,17.39,1.75,100.00
MOT17-05-FRCNN,9.93,7.70,45,35.21,8.99,53.33
MOT17-09-FRCNN,6.52,2.97,15,4.55,0.00,0.00
MOT17-10-FRCNN,2.64,1.07,17,108.33,4.11,60.00
MOT17-11-FRCNN,11.47,8.16,41,6.82,2.13,100.00
MOT17-13-FRCNN,1.95,0.72,31,197.73,27.38,32.86
COMBINED_SEQ,16.45,10.92,242,36.28,9.41,39.58
