detector,tracker,reid,appearance_thresh,MAX_CDIST_TH
ultralytics,botsort,vit-small-ics,0.25,0.155

video_name,HOTA,IDF1,IDERROR,FS,TIDP,TIDR
MOT17-02-FRCNN,11.10,7.67,31,37.74,9.09,100.00
MOT17-04-FRCNN,22.23,17.46,55,15.94,1.72,100.00
MOT17-05-FRCNN,9.78,7.55,42,39.44,15.56,60.87
MOT17-09-FRCNN,6.47,3.07,14,4.55,21.05,66.67
MOT17-10-FRCNN,2.60,0.98,18,108.33,16.44,85.71
MOT17-11-FRCNN,11.49,8.11,41,4.55,8.70,100.00
MOT17-13-FRCNN,2.02,0.57,33,270.45,26.36,35.37
COMBINED_SEQ,16.34,10.78,234,46.02,15.62,50.38
